;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
39;0.4033;111.062;27368.3826;0.1338;91.0988;2027016.7989;16.4274;34.2417;0.0;0.0;93.0084;0.0;515.7818;597.0156;0.0;63.3129;863.9072;10.0828;10070.3767;2.2496;0.2188;113.995;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
40;0.3741;102.7472;27779.9354;0.1483;86.0931;2048953.99;15.7818;36.7378;0.0;0.0;95.4875;0.0;520.9046;596.9772;0.0;51.367;895.5663;11.9078;10331.8766;2.8678;0.347;117.4522;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
41;0.4548;96.7737;27239.5244;0.1565;75.0113;1987091.0959;15.1126;35.7108;0.0;0.0;94.612;0.0;469.6058;582.4921;0.0;65.8293;855.2337;10.8155;8442.3623;2.6113;0.3006;105.697;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
42;0.4244;90.043;27678.2284;0.146;70.7697;1916442.7754;15.1656;37.2501;0.0;0.0;94.121;0.0;439.2124;553.9524;0.0;57.9006;856.0291;10.3308;9625.1299;2.5348;0.2983;113.1065;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
43;0.417;98.7934;28347.8628;0.1518;79.9407;2015334.0007;15.4285;46.0455;0.0;0.0;94.4173;0.0;489.2106;578.4964;0.0;65.1656;879.4862;10.432;10247.2095;2.3253;0.3268;106.0443;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
44;0.4142;94.4339;28160.7191;0.1572;76.489;1966161.7808;15.1301;42.3336;0.0;0.0;94.2333;0.0;476.3891;569.9575;0.0;65.3006;850.0484;10.9449;10010.7942;2.5685;0.3707;110.9218;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
45;0.4564;98.5802;28378.6001;0.1585;78.1611;1945489.9274;16.7672;44.1635;0.0;0.0;93.7851;0.0;437.1836;553.0425;0.0;55.7735;876.3473;10.685;8916.9714;2.3595;0.2817;111.2593;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
46;0.4414;86.1524;27806.285;0.1871;68.0221;1982712.87;15.035;42.972;0.0;0.0;95.8593;0.0;433.6917;566.4324;0.0;59.9486;887.7617;11.4742;9530.8895;2.5186;0.4924;101.0259;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
47;0.4975;111.7817;27394.0672;0.2024;89.695;2050499.7279;15.6384;37.21;0.0;0.0;94.0211;0.0;539.2638;598.3649;0.0;55.5155;889.7296;11.3145;8205.2838;2.4672;0.476;105.5917;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
48;0.4649;106.7702;26757.616;0.1693;85.494;1925924.9352;15.8014;30.9977;0.0;0.0;93.7084;0.0;507.0125;556.7673;0.0;55.4231;895.6906;10.3224;8769.2849;2.2827;0.3336;106.2213;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
