;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
313;0.4436;499.3128;24302.0;0.2269;484.3829;1674614.3789;4.3218;0.0;0.0;0.0;44.6925;0.0;431.8181;555.7163;0.0;0.0;877.3702;10.6007;10580.9253;1.9115;1.7192;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
314;0.4706;678.658;24302.0;0.2266;660.7617;1782288.3061;4.6634;0.0;0.0;0.0;42.8249;0.0;523.095;591.5162;0.0;0.0;888.6318;10.4651;9516.3766;2.7942;1.7968;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
315;0.3794;711.6747;24302.0;0.1999;699.4305;1658068.6397;5.847;0.0;0.0;0.0;43.6543;0.0;450.1741;550.2151;0.0;0.0;850.6738;11.7883;11487.3775;2.8712;1.3593;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
316;0.4644;676.6364;24302.0;0.2558;661.4839;1765660.7585;4.8051;0.0;0.0;0.0;44.1643;0.0;524.1194;585.9878;0.0;0.0;898.0198;10.5957;10997.4879;1.6959;1.8547;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
317;0.4721;659.4571;24302.0;0.226;641.4048;1782678.0988;4.4451;0.0;0.0;0.0;43.7789;0.0;544.5748;591.6458;0.0;0.0;882.0641;10.0759;9800.6815;2.1836;1.6765;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
318;0.4904;549.8779;24302.0;0.2086;529.4975;1757521.4291;3.8004;0.0;0.0;0.0;43.1332;0.0;518.0698;583.2816;0.0;0.0;858.5325;10.1352;8508.5482;2.5622;1.5056;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
319;0.4551;705.2998;24302.0;0.227;688.6636;1772264.0761;4.8886;0.0;0.0;0.0;42.9845;0.0;522.0072;588.1833;0.0;0.0;889.3317;11.5123;9253.619;2.8224;1.6813;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
320;0.3903;451.0973;24302.0;0.172;435.324;1755655.176;3.5452;0.0;0.0;0.0;45.68;0.0;483.5484;582.6611;0.0;0.0;889.7957;10.0873;11034.1856;2.5201;1.4556;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
321;0.4375;564.5173;24302.0;0.237;550.4442;1705540.0413;4.6304;0.0;0.0;0.0;44.8893;0.0;460.0231;565.9986;0.0;0.0;898.731;10.8275;11192.9278;1.6575;1.6666;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
322;0.3619;378.355;24302.0;0.1748;364.7916;1761304.163;3.0786;0.0;0.0;0.0;43.215;0.0;441.4364;584.5393;0.0;0.0;894.7925;11.7138;11085.8328;2.4629;1.7212;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
323;0.4277;619.3376;24302.0;0.2286;604.9669;1753663.2028;5.3202;0.0;0.0;0.0;44.3002;0.0;434.2615;581.9988;0.0;0.0;852.7205;11.8767;10274.7256;2.4;1.5875;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
324;0.5181;646.6791;24302.0;0.2421;626.3904;1786338.1203;5.7309;0.0;0.0;0.0;45.3308;0.0;427.1276;592.8627;0.0;0.0;893.8622;10.1851;8644.5738;2.69;1.4833;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
