;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
113;0.9606;240.0096;76513.1639;0.2491;210.2071;3204975.494;1.1575;0.0;43.3731;77.5336;95.7758;0.0;522.3215;585.0562;0.0;0.0;877.3013;11.7542;9149.0932;2.0113;8.984;165.7207;40.881;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
114;1.0926;302.0522;77095.1851;0.3078;271.2155;3029186.9229;1.5759;0.0;31.0451;77.7105;93.7685;0.0;484.617;577.6073;0.0;0.0;896.7995;11.694;8400.3051;2.0372;8.7865;183.0453;49.0523;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
115;0.8915;241.4392;76229.9797;0.2122;213.4917;3136319.2412;1.1357;0.0;39.8515;74.6456;94.4369;0.0;533.1076;565.9545;0.0;0.0;861.8393;10.6934;10494.4799;2.4663;8.5045;164.6943;39.0036;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
116;1.184;286.4922;75777.1483;0.2878;252.5512;2869973.2723;1.5484;0.0;33.5491;65.726;94.4554;0.0;462.646;598.6529;0.0;0.0;865.9164;10.1834;8303.4917;2.5267;8.88;180.717;37.7116;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
117;0.8659;266.845;76003.6748;0.2475;243.2091;2904857.5364;1.4936;0.0;30.6075;73.802;95.5762;0.0;467.3594;569.4497;0.0;0.0;888.9661;10.3762;11844.435;2.4795;8.5858;170.4692;37.1124;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
118;1.1612;281.1592;76039.5877;0.3072;248.5435;2904088.8793;1.5377;0.0;42.4523;72.821;93.2683;0.0;452.7105;577.82;0.0;0.0;853.5311;11.0504;8057.5743;2.1847;9.1021;196.1484;36.3976;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
119;0.9797;224.7216;75425.7955;0.2672;197.986;2830057.4065;1.1503;0.0;48.9518;61.2412;93.1847;0.0;481.6413;557.1142;0.0;0.0;899.31;10.0465;10536.3612;1.7217;9.9861;181.3992;32.8962;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
120;1.0673;217.1133;76532.1207;0.2566;187.0248;2840259.7961;1.2259;0.0;38.4646;67.9755;94.9946;0.0;435.2099;598.54;0.0;0.0;878.3429;10.2969;9167.5014;2.4854;9.8513;162.8472;47.4519;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
121;1.0893;237.6923;75279.7967;0.2908;207.8698;2811676.3415;1.2864;0.0;47.6151;60.17;95.5218;0.0;463.5256;579.8664;0.0;0.0;865.6224;10.2594;9189.6625;1.6725;9.3175;171.1509;31.541;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
122;1.1007;297.507;75697.032;0.3442;268.3567;2916985.9482;1.4804;0.0;31.1103;61.4204;94.6924;0.0;515.4711;587.3287;0.0;0.0;872.5475;11.6146;8615.6408;1.5948;9.8175;166.9432;39.6169;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
123;1.0437;266.679;76651.8708;0.2541;235.6722;3010123.4504;1.3659;0.0;45.4737;71.3652;95.2557;0.0;493.5557;572.5187;0.0;0.0;871.5124;10.6467;9118.2759;2.8821;9.2351;197.1366;45.3623;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
124;1.0562;202.9067;77078.7179;0.2497;173.0293;2855347.7946;1.0247;0.0;48.5435;63.3912;94.7856;0.0;480.6412;561.7859;0.0;0.0;867.6389;11.2811;8471.5895;1.9895;9.6421;176.4097;58.055;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
125;0.9195;323.3787;76499.933;0.2941;297.1874;3203684.8294;1.5907;0.0;33.4004;79.5203;93.8514;0.0;526.5488;583.6792;0.0;0.0;859.8011;10.9167;11204.7208;2.3221;9.7238;182.5048;40.2426;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
