vars;min;max
C3_batt;93.0;96.0
C3_h2;50.0;54.0
C3_synth;42.0;46.0
Em_elFC;400.0;550.0
C5_icev;0.0;0.0
C5_empty;0.0;0.0
Em_elVC;550.0;600.0
cd;20.0;30.0
cd_empty;0.0;0.0
Em_elBatt;850.0;900.0
L;10.0;12.0
D;8000.0;12000.0
C_fuelH2;8.5;10.0
C_fuelEl;0.5;0.7
C_fuelSynth;1.4;2.3
r;1.5;3.0
C_batt;80.0;120.0
C_battEmpty;0.0;0.0
C_fc;30.0;60.0
C_fcEmpty;0.0;0.0
