vars;min;max
FE_batt;15.0;17.0
FE_h2;1.0;1.6
FE_synth;3.0;6.0
P_batt;30.0;50.0
P_battEmpty;0.0;0.0
E_batt;30.0;50.0
E_battEmpty;0.0;0.0
P_fc;50.0;70.0
P_fcEmpty;0.0;0.0
s_ren_big;0.0;0.0
s_ren_small;0.0;0.0
s_ren_empty;0.0;0.0
