vars;min;max
FE_batt;0.2;0.25
FE_h2;0.015;0.025
FE_synth;0.08;0.18
P_batt;50.0;70.0
P_battEmpty;0.0;0.0
E_batt;70.0;100.0
E_battEmpty;0.0;0.0
P_fc;70.0;100.0
P_fcEmpty;0.0;0.0
s_ren_big;0.0;0.0
s_ren_small;0.0;0.0
s_ren_empty;0.0;0.0
