vars;min;max
C3_batt;1.3;1.5
C3_h2;4.0;5.0
C3_synth;7.4;7.8
Em_elFC;400.0;550.0
C5_icev;2200.0;2500.0
C5_empty;0.0;0.0
Em_elVC;550.0;600.0
cd;45.0;60.0
cd_empty;0.0;0.0
Em_elBatt;850.0;900.0
L;10.0;12.0
D;10000.0;12000.0
C_fuelH2;1.5;1.8
C_fuelEl;0.3;0.4
C_fuelSynth;1.4;2.3
r;1.5;3.0
C_batt;200.0;2300.0
C_battEmpty;0.0;0.0
C_fc;30.0;60.0
C_fcEmpty;0.0;0.0
