;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
25;0.4908;102.8617;28483.6141;0.1815;80.2733;2080132.8358;16.8397;49.5396;0.0;0.0;94.9581;0.0;452.6568;597.6118;0.0;69.2316;893.8636;10.5761;8707.242;2.0;0.329;101.3051;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
26;0.3991;95.4957;27555.9023;0.159;78.0378;2004021.4585;16.7729;37.6177;0.0;0.0;95.9535;0.0;446.4343;586.4011;0.0;66.0674;860.2941;10.1644;11293.4871;2.9559;0.4072;108.7494;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
27;0.4144;112.0324;27118.4281;0.1433;91.944;2009814.8681;16.8747;32.5944;0.0;0.0;93.8173;0.0;511.1756;594.2243;0.0;65.4336;850.4179;10.19;9818.2696;2.5344;0.2641;112.0876;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
28;0.4624;110.0751;27514.2102;0.1605;87.7738;2032263.0263;15.152;34.3701;0.0;0.0;94.757;0.0;548.9167;599.7843;0.0;65.1269;859.2676;10.0062;9107.112;1.5859;0.2364;117.812;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
29;0.4447;106.9264;27850.1381;0.1705;86.834;2040523.289;15.0345;40.3217;0.0;0.0;94.0969;0.0;543.4707;593.2348;0.0;53.852;882.8858;10.6066;9574.8757;2.9824;0.4527;108.7538;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
30;0.4061;103.9478;27458.1354;0.1737;87.2766;1969611.9667;15.7045;39.8608;0.0;0.0;95.5486;0.0;531.0044;572.1503;0.0;59.349;855.7653;11.0402;10701.3164;2.7069;0.4683;100.177;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
31;0.4481;94.2192;27522.5698;0.2059;76.4668;2017336.6762;16.7843;36.837;0.0;0.0;94.284;0.0;429.5441;590.2822;0.0;55.9934;869.1377;10.9448;10382.7818;1.563;0.4208;110.1493;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
32;0.4925;105.422;27095.2488;0.1823;83.6311;1903371.6903;15.3501;30.6452;0.0;0.0;95.0905;0.0;518.0764;550.7831;0.0;67.6891;884.3104;10.3741;8419.7299;1.6041;0.29;118.4606;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
33;0.4556;93.767;26971.8308;0.1829;74.0566;1949302.6425;15.1768;33.3233;0.0;0.0;93.8856;0.0;458.1235;563.5252;0.0;67.6078;891.6082;10.2311;9666.3229;2.7988;0.4989;105.2366;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
34;0.4062;92.632;27295.9538;0.1703;75.2976;2005443.9659;15.8236;37.9447;0.0;0.0;95.3642;0.0;453.7965;587.7902;0.0;63.3397;855.1948;11.1343;10390.5668;2.2832;0.4014;100.9615;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
35;0.4327;110.705;27948.7681;0.2036;94.5623;1969093.9536;16.9401;42.3205;0.0;0.0;95.0019;0.0;530.3158;569.6412;0.0;57.7503;856.0568;10.6889;11411.9286;1.8476;0.4849;105.9479;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
36;0.3998;101.6034;28410.6463;0.1625;85.0743;1978936.2565;16.0781;48.1554;0.0;0.0;95.8359;0.0;507.098;561.6648;0.0;57.0737;877.7829;10.0463;11917.2888;1.8541;0.3583;102.7018;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
37;0.4225;88.409;27304.4063;0.158;69.5068;1951382.8972;15.0837;35.9532;0.0;0.0;94.5452;0.0;435.6711;563.3912;0.0;53.8162;881.5161;10.4404;9888.0708;2.7298;0.3844;106.789;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
38;0.4894;94.1805;28095.6009;0.1628;70.3865;2046571.8935;15.6025;42.1509;0.0;0.0;94.1404;0.0;424.689;597.7114;0.0;56.7697;867.7786;10.1564;8468.738;2.5175;0.3145;109.8577;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
39;0.4075;100.5679;26940.7558;0.1315;79.6474;2042366.3438;16.8295;34.214;0.0;0.0;94.68;0.0;448.0829;598.561;0.0;58.2179;886.2598;10.4634;9330.1399;2.7642;0.2101;101.5887;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
