;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;E_battEmptyPHEV;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren;Number;fe_phev_cd;fe_phev_cs;c_phev_el;c_phev_synth
40;0.3189;124.6407;36116.0221;0.1258;63.5597;11421472.1163;15.9012;48.3654;0.0;0.0;0.0;95.5446;0.0;381.9074;541.1482;0.0;0.9373;774.4725;16.5912;11270.3701;7.568;0.3799;190.5499;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;41;0.0;0.0;0.0;0.0
41;0.3126;120.8797;38270.6098;0.1026;34.5509;15731133.3056;15.2282;62.6376;0.0;0.0;0.0;95.8181;0.0;217.3993;555.8349;0.0;0.5699;878.8373;15.1932;11993.7444;7.5705;0.2827;181.5301;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;42;0.0;0.0;0.0;0.0
42;0.3254;117.9877;36598.123;0.1358;60.4641;11105806.4207;15.7894;50.2118;0.0;0.0;0.0;95.0583;0.0;364.017;520.2476;0.0;0.754;728.5464;16.874;11441.5666;7.8711;0.4471;193.1443;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;43;0.0;0.0;0.0;0.0
43;0.3157;111.166;35401.7466;0.1284;43.44;12800411.9131;15.3633;51.8637;0.0;0.0;0.0;94.243;0.0;266.4735;553.5551;0.0;0.4946;827.6604;16.7414;11289.5464;7.427;0.4073;163.9248;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;44;0.0;0.0;0.0;0.0
44;0.3552;148.6511;38899.2927;0.1328;54.5415;16459893.5316;15.2875;67.2789;0.0;0.0;0.0;94.2299;0.0;336.186;582.1832;0.0;0.845;858.9121;16.5879;10543.9105;7.4259;0.4118;178.3515;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;45;0.0;0.0;0.0;0.0
45;0.2882;115.2083;38105.835;0.0908;38.0526;14894581.3679;15.5547;68.3126;0.0;0.0;0.0;93.4272;0.0;228.5577;547.3982;0.0;0.1149;761.885;16.1756;11934.3833;7.7261;0.2091;164.0376;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;46;0.0;0.0;0.0;0.0
46;0.3243;101.1747;36100.1684;0.1213;40.3452;10815768.8644;16.1716;46.6522;0.0;0.0;0.0;95.5993;0.0;238.5031;579.1455;0.0;0.8545;737.0846;15.7001;11325.0812;7.3113;0.3485;197.2076;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;47;0.0;0.0;0.0;0.0
47;0.3787;138.9373;39543.2379;0.1246;38.9484;15559832.7429;16.2193;66.2124;0.0;0.0;0.0;95.7568;0.0;229.9466;544.3616;0.0;0.2829;825.6187;15.0885;10313.5209;7.0302;0.3312;190.9497;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;48;0.0;0.0;0.0;0.0
48;0.3388;113.6731;38295.1;0.124;32.0698;14545905.095;15.1337;62.2151;0.0;0.0;0.0;94.5045;0.0;200.2641;591.0428;0.0;0.0305;800.3143;16.0909;11077.7674;7.8477;0.3865;183.1565;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;49;0.0;0.0;0.0;0.0
49;0.2998;114.022;36434.437;0.0974;48.0551;11876210.4281;16.9882;48.4633;0.0;0.0;0.0;93.496;0.0;264.4752;587.4151;0.0;0.969;796.0456;15.8855;11333.1551;7.5404;0.2098;196.7352;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;50;0.0;0.0;0.0;0.0
