;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;L (years);D (km);r (%);Em_elFC;Em_elVC;Em_elBatt;C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren;Number
610;0.3556;547.6582;24302.0;0.2137;535.308;2114590.3497;5.3781;16.8984;10132.3374;7.2422;354.948;516.892;748.8672;2.0416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.4918;263.6167;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;611
611;0.3648;485.1105;24302.0;0.2242;472.1682;2236249.2206;6.8225;15.0501;11480.6425;7.3368;241.2847;546.6991;815.0843;1.8851;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.2918;455.5473;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;612
612;0.3773;663.8662;24302.0;0.2544;651.69;2407476.3541;5.9436;16.8278;11749.5496;7.5779;398.7804;588.6507;773.6044;2.6501;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.9748;445.2405;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;613
613;0.3094;453.0781;24302.0;0.1728;440.0102;2325005.5731;5.1935;15.7862;11270.3935;7.221;310.0475;568.4449;854.7727;1.5738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.6988;242.0047;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;614
614;0.3575;369.9905;24302.0;0.2195;357.4962;2200021.0634;5.7441;15.3781;11450.2201;7.8369;231.9043;537.823;869.0017;2.1883;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.338;16.4807;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;615
615;0.3238;398.0781;24302.0;0.1829;384.8187;2286609.3019;5.2232;15.1541;11379.9219;7.9829;278.9904;559.0376;733.8171;1.7841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.1784;204.1355;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;616
616;0.4268;581.3687;24302.0;0.2888;569.3763;2112247.9539;6.8813;15.4929;11368.552;7.2373;306.8945;516.3181;720.4277;2.6764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.8711;340.4709;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;617
617;0.3957;405.4304;24302.0;0.2533;393.1667;2093576.541;5.7545;15.8967;10738.8624;7.4395;245.4214;511.7435;880.6069;2.6026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.528;138.1841;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;618
618;0.3322;567.7358;24302.0;0.1935;554.126;2384462.1826;5.9651;16.9791;10318.7249;7.4165;336.6146;583.0121;769.1968;1.5748;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.3238;63.6201;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;619
619;0.3946;509.2672;24302.0;0.2558;495.5588;2400694.4672;6.8475;16.0453;10914.4489;7.8543;270.3958;586.9891;893.8809;2.2574;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.4666;20.9808;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;620
