;Vehicle;TCO (€/km);LCE;TCO_Capex (€);TCO_Opex (€/km);Em_fc;Em_vc;FE;L (years);D (km);r (%);Em_elFC (gGHG/kWh);Em_elVC (gGHG/kWh);Em_elBatt (gGHG/kWh);C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren
110;PHEV;0.4044;625.0972;27303.9823;0.2569;611.2385;2564724.6512;5.3809;16.7261;11064.322;7.917;438.7271;581.0969;806.8187;2.7622;0.0097;16.2523;5.274;0.3911;2.7855;11.989;0.0;0.0;0.0;44.8913;225.9302;161.6467;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;664.6997;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
111;PHEV;0.3844;637.4312;27489.0427;0.2375;624.1392;2487755.4543;5.9592;15.9141;11760.7798;7.1275;419.2418;563.6242;743.3209;2.2304;0.0097;15.8294;5.863;0.3763;2.2485;11.2002;0.0;0.0;0.0;46.1187;79.6639;189.554;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;676.2951;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
112;PHEV;0.3361;853.2158;27424.1507;0.1816;840.3817;2278107.814;6.6395;16.3982;10824.6223;7.2289;499.0319;516.0323;860.4379;1.3019;0.0097;15.4653;6.5531;0.2834;1.3119;11.9731;0.0;0.0;0.0;46.0065;220.5014;171.8979;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;662.1258;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
113;PHEV;0.4602;839.7079;27514.1309;0.3011;824.5496;2621764.6819;6.9925;15.8149;10936.4759;7.3638;469.1823;594.0455;753.8907;2.5523;0.0097;15.2663;6.9114;0.4731;2.5727;11.79;0.0;0.0;0.0;45.7377;7.8097;182.1994;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;675.9057;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
114;PHEV;0.3672;709.5312;27315.1434;0.2132;694.7837;2615938.0405;6.1312;15.672;11318.3289;7.5994;411.9841;592.7228;894.4585;1.8553;0.0094;16.5253;6.033;0.2299;1.8707;11.2739;0.0;0.0;0.0;42.9043;339.1229;172.8899;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;672.4759;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
115;PHEV;0.4052;694.0688;27374.8063;0.2452;680.4245;2335075.6008;5.5778;16.6234;10295.1431;7.2883;464.5198;528.9645;854.2132;2.3697;0.0097;16.1891;5.474;0.3382;2.3896;11.1646;0.0;0.0;0.0;44.6287;323.5535;179.9264;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;679.8789;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
116;PHEV;0.4693;789.7419;27646.7328;0.3063;775.1255;2479277.3761;6.5586;16.6599;10181.5504;7.4102;446.7346;561.6996;857.9871;2.7543;0.0098;16.5719;6.4593;0.2897;2.7787;11.5232;0.0;0.0;0.0;43.4762;45.1546;197.9253;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;661.6822;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
117;PHEV;0.4351;846.4195;27628.2241;0.2857;832.993;2481628.8248;6.813;16.9603;10897.8238;7.517;444.9402;562.2334;808.0118;2.4574;0.0092;15.848;6.7289;0.4946;2.4757;11.5454;0.0;0.0;0.0;42.7187;257.3559;195.9416;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;669.9689;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
118;PHEV;0.4415;716.088;27288.683;0.2967;703.6627;2342718.0293;6.2522;15.7985;11934.3028;7.9436;432.1825;530.6994;771.4867;2.9216;0.0096;16.2645;6.1554;0.3363;2.9466;11.3675;0.0;0.0;0.0;44.4;108.8558;169.1386;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;672.8157;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
119;PHEV;0.3219;679.3231;27096.1586;0.1709;666.125;2367839.9414;6.0649;16.799;10679.6383;7.7391;407.4444;536.4023;846.9888;1.293;0.0093;15.0867;5.9802;0.2378;1.3029;10.2208;0.0;0.0;0.0;44.031;376.8858;169.2782;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;663.8339;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
