;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;L (years);D (km);r (%);Em_elFC (gGHG/kWh);Em_elVC (gGHG/kWh);Em_elBatt (gGHG/kWh);C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren;Number
210;0.5844;266.2614;81417.6212;0.1669;244.2075;4300942.7596;1.4887;16.675;11695.3428;7.1475;463.8251;593.6657;750.7402;6.6248;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.7183;101.3998;94.1557;0.0;186.0331;97.0785;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;559.2146;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;211
211;0.5874;231.115;83662.1536;0.1422;210.9667;3786288.0446;1.4731;16.9627;11078.4667;7.0363;403.752;519.485;739.8655;5.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.2216;105.3115;93.8809;0.0;175.2864;115.6591;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;551.5462;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;212
212;0.6436;237.089;82347.7091;0.1482;211.9354;4181223.8656;1.2728;16.2514;10228.4956;7.8121;467.8343;529.8541;887.912;6.0307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.1704;105.6894;93.5606;0.0;189.6911;101.7752;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;558.5869;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;213
213;0.5028;224.4059;79468.4344;0.1055;202.8091;4319761.7918;1.2061;16.87;11856.4641;7.7322;484.384;595.797;744.772;3.8062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.2656;95.071;95.9246;0.0;167.7356;83.1876;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;564.3192;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;214
214;0.5825;297.9005;82045.2042;0.1281;273.8428;4343925.8837;1.5906;16.8966;10686.3257;7.6325;494.7826;579.3758;744.1204;3.8043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.4804;97.9939;95.7014;0.0;182.1258;106.571;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;563.8412;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;215
215;0.549;203.6465;83212.5977;0.1193;181.5048;4287811.3239;1.1531;16.7186;11583.0875;7.7478;450.2212;577.376;868.0574;4.9851;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.8287;109.538;95.2465;0.0;185.8533;106.6553;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;557.7765;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;216
216;0.6307;227.005;83341.9005;0.1437;204.9995;3766097.2326;1.4216;16.9681;10086.1861;7.7895;407.8382;506.4082;811.9813;4.9975;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.7044;102.3809;94.1796;0.0;165.1638;115.4863;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;568.532;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;217
217;0.5845;250.8746;79630.5273;0.1458;229.6701;3848849.3937;1.3304;16.2164;11193.0501;7.0187;489.0764;521.5928;824.593;5.8667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.1662;81.8011;94.3406;0.0;199.648;99.4317;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;555.9348;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;218
218;0.5898;252.6515;80977.6203;0.1439;231.6667;3811126.3076;1.4893;15.536;11689.8573;7.7969;448.1517;545.4441;865.4891;5.3353;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0108;81.0255;95.9374;0.0;178.913;117.1549;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;562.6155;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;219
219;0.6234;201.2219;80849.9639;0.1175;177.6184;3772100.8431;1.1477;15.5312;10289.6848;7.0466;445.2785;527.0715;825.9034;4.1737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.6924;83.6028;95.8112;0.0;195.4632;111.2315;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;566.3569;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;220
220;0.6543;248.0932;83009.9251;0.1283;220.3963;4370564.7721;1.3335;15.4362;10222.7342;7.6659;470.3836;598.6555;737.3945;4.4453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.408;106.5518;94.7731;0.0;171.8607;108.35;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;554.5534;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;221
221;0.6164;261.2504;79692.3176;0.1599;238.4343;3983430.5833;1.5124;15.9608;10938.5951;7.6612;442.9299;530.778;853.8321;5.9279;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.7461;101.4825;93.5572;0.0;160.2846;80.9356;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;567.4527;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;222
