TCO;LCE
0.3785;86.4007
0.3673;82.9999
0.3282;72.4587
0.3204;65.4343
0.3259;73.5070
0.3553;79.6193
0.3307;71.6875
0.3343;69.4153
0.3852;78.5024
0.2975;66.1432
0.3423;67.6898
0.3117;69.1508
0.3801;73.4679
0.3168;75.9931
0.3757;75.0796
0.3752;79.1375
0.3625;80.1637
0.3489;76.2233
0.3180;65.9817
0.3627;77.1496
0.3119;72.4943
0.3736;83.8485
0.3211;65.4213
0.3262;72.0511
0.3352;71.6475
0.3090;66.9302
0.3648;79.4302
0.3140;67.9650
0.3613;79.2609
0.3931;84.1638
0.3481;78.9719
0.3548;75.4926
0.3468;74.4422
0.3468;71.8902
0.3325;76.4020
0.3063;60.5819
0.2945;69.0327
0.3663;78.8857
0.3401;72.9609
0.3586;73.8344
0.3457;74.0852
0.3656;83.1584
0.3581;72.0349
0.3189;62.5631
0.3988;94.3017
0.3324;66.9218
0.3760;75.2568
0.3645;78.9814
0.3636;74.0297
0.3645;73.9665
0.3553;73.4486
0.3246;68.6590
0.3750;77.5723
0.2914;61.9023
0.3278;74.0430
0.2925;70.0553
0.3207;61.9612
0.3606;69.8106
0.3144;72.6685
0.3860;79.1338
0.3200;67.0959
0.2925;60.9406
0.3514;75.1038
0.3336;68.8326
0.3580;80.3287
0.3329;71.0095
0.3196;76.0436
0.3485;79.3852
0.3432;75.3024
0.3260;71.7731
0.3382;73.3306
0.3505;72.9616
0.3256;66.7034
0.3126;64.2522
0.3483;73.6862
0.3058;63.0810
0.3535;76.7149
0.3467;71.7523
0.3055;62.3234
0.3581;73.2997
0.3842;81.5103
0.3386;70.5039
0.3256;73.8701
0.3629;77.9916
0.3314;72.8094
0.3604;73.9227
0.3366;73.6566
0.3156;69.5620
0.3266;69.4730
0.3404;68.6032
0.3920;76.8791
0.3904;76.7736
0.3131;69.9259
0.3157;69.8130
0.3610;80.6041
0.3721;82.8139
0.3175;67.7058
0.3318;75.3101
0.3011;62.2915
0.3648;85.3529
0.3750;75.7927
0.3617;79.9889
0.3491;77.5735
0.3304;70.3183
0.3826;83.9931
0.3217;69.0889
0.3223;75.3184
0.3294;69.5705
0.3536;81.3633
0.3466;75.2698
0.3698;76.7110
0.3306;68.8947
0.3762;78.7421
0.3244;68.6414
0.3102;62.7204
0.3280;71.1054
0.3915;78.2912
0.3193;66.7268
0.3887;77.4798
0.3090;62.9151
0.3170;60.6489
0.3833;80.1268
0.3492;73.0006
0.3777;78.9192
0.3983;88.9137
0.3165;65.1432
0.3004;62.1960
0.3892;81.2407
0.3206;68.7920
0.3808;89.6028
0.3799;86.1196
0.3181;64.0979
0.3794;81.5608
0.3773;80.5351
0.3758;78.4631
0.3186;67.5263
0.3822;87.9163
0.3563;71.1264
0.3767;79.6521
0.3211;70.8295
0.3441;71.1539
0.3613;76.8606
0.2975;67.6570
0.3516;77.0975
0.3463;71.3081
0.3305;69.1911
0.3317;69.9933
0.3775;83.1188
0.3427;67.4850
0.3906;80.6159
0.3330;64.2213
0.3467;70.7526
0.3235;75.6607
0.3463;75.7601
0.3200;74.4990
0.3814;74.6491
0.3066;69.7426
