TCO (€/km);LCE (gGHG/km)
0.6045;159.3415
0.5954;132.9321
0.5751;195.4186
0.5910;201.8652
0.5921;166.6091
0.6035;138.4504
0.5246;126.8925
0.5709;124.4963
0.6234;126.1811
0.6718;158.1588
0.5984;172.3405
0.5754;114.6828
0.6327;205.6329
0.6750;116.0756
0.5998;145.1807
0.5872;141.7148
0.6073;175.5251
0.5886;126.5119
0.6452;112.1891
0.5236;186.1445
0.5372;137.4141
0.5623;165.1996
0.6334;120.8581
0.5893;204.6641
0.5731;158.7933
0.5393;152.8032
0.5482;135.5016
0.6390;185.9754
0.5069;156.0676
0.6337;178.9343
0.5715;188.9513
0.5479;95.2035
0.5658;137.3608
0.5126;160.3173
0.6037;174.5044
0.6141;158.2253
0.5813;123.3484
0.5579;160.4493
0.5384;158.7904
0.5199;167.0155
0.5255;144.8490
0.5769;160.0049
0.5758;191.6376
0.5710;148.1658
0.6162;102.2029
0.5968;180.1048
0.5459;122.9703
0.5720;150.2863
0.6236;185.9637
0.5738;179.9371
0.5253;191.2427
0.6170;117.7690
0.6106;230.0130
0.6210;219.8376
0.5946;129.3898
0.5844;186.7052
0.6756;135.4564
0.6001;200.5353
0.5555;125.5418
0.5813;140.5865
0.5750;205.8382
0.6287;150.1860
0.5604;158.7854
0.6578;206.3819
0.6393;144.5349
0.5833;132.8620
0.6636;233.5882
0.6520;156.0933
0.5670;102.2133
0.5339;174.4845
0.5989;172.0380
0.5985;167.9541
0.5967;224.8971
0.5857;206.3975
0.5536;144.8918
0.5687;120.1691
0.6837;209.0282
0.6237;147.8839
0.5633;198.8830
0.5566;175.8989
0.6197;211.5214
0.6646;133.7427
0.4500;427.3239
0.3162;354.4538
0.3692;351.7609
0.4756;686.7783
0.3568;453.7083
0.3976;507.7646
0.4390;462.4776
0.4601;622.5901
0.4014;478.3254
0.4664;656.0214
0.4728;484.5249
0.3733;395.4820
0.3798;305.6287
0.3991;459.5097
0.4229;364.3276
0.3563;750.2510
0.4311;669.3802
0.3806;420.0559
0.3764;541.0491
0.3584;594.1933
0.3526;443.0870
0.4085;564.0349
0.4146;521.7999
0.4022;543.1373
0.4393;562.0874
0.3845;363.8086
0.4087;625.9251
0.4324;407.6728
0.3696;350.4796
0.3518;543.0419
0.3879;571.9441
0.4017;325.3956
0.4678;597.4223
0.4160;445.2940
0.4039;371.2414
0.3372;384.5564
0.4827;529.1595
0.4823;497.1131
0.4136;478.1035
0.3193;441.7885
0.3606;431.1402
0.4412;585.0406
0.3597;496.6248
0.4182;572.6506
0.3612;449.6370
0.3977;491.4668
0.3761;457.6318
0.4393;423.0410
0.3182;511.4089
0.4223;443.5499
0.4151;558.9527
0.4363;658.4872
0.3179;503.8689
0.3626;596.6221
0.3869;349.6383
0.4531;755.5796
0.4390;501.8672
0.4480;461.2660
0.3485;605.0985
0.4114;418.7660
0.3907;639.4714
0.3923;449.1862
0.4001;390.7390
0.4572;500.4215
0.4057;365.5414
0.4440;367.3967
0.4081;471.9593
0.4256;407.2494
0.3347;635.1072
0.3635;527.5012
0.3754;671.4556
0.3354;468.8820
0.4081;612.5903
0.4667;550.0025
0.3250;313.0105
0.3374;553.1776
0.3946;510.3300
0.3762;559.7444
0.3265;527.5997
0.3660;516.9185
0.4068;495.1336
0.3994;586.1820
0.3734;487.3876
0.4208;585.7253
0.4338;360.1455
0.4182;710.8136
0.3730;611.5911
0.3844;619.3193
0.3690;430.1653
0.4318;479.0393
0.4895;621.8512
0.3887;414.4377
0.4573;484.1122
0.3619;553.8343
0.4130;570.7143
0.4388;633.6170
0.3655;376.3189
0.4320;461.2495
0.3506;545.1434
0.4787;411.5069
0.3056;475.8922
0.4145;579.1339
0.4177;342.4892
0.4533;494.7642
0.3933;608.1995
0.3854;563.0758
0.3932;422.8836
0.4410;613.7519
0.3908;395.3796
0.3657;480.0976
0.3722;513.8670
0.4674;499.3340
0.4412;492.6354
0.3652;546.7927
0.4182;416.9291
0.4147;382.5043
0.4016;607.4497
0.3212;621.7237
0.4389;403.9413
0.4422;320.4606
0.3775;378.2878
0.4525;496.8171
0.3514;293.8951
0.3475;345.0508
0.4330;405.3514
0.3881;370.3440
0.4279;508.7037
0.3304;536.5082
0.4855;657.9955
0.4016;513.5229
0.4939;658.8578
0.4175;527.6618
0.3887;395.4022
0.3342;649.2241
0.3963;416.9495
0.4081;688.6119
0.4555;334.1054
0.4701;434.1339
0.3872;687.9585
0.3899;474.2925
0.4018;460.1250
0.4000;503.4321
0.4082;582.0085
0.3599;518.4674
0.3512;337.3854
0.4211;567.4669
0.4262;583.9364
0.3938;536.9986
0.4415;502.4323
0.3388;576.2356
0.4362;680.8856
0.3788;526.3184
0.3902;656.4015
0.3945;457.9333
0.3956;567.6834
0.3398;573.6014
0.4620;418.4141
0.4475;464.2684
0.4231;421.9318
0.3856;548.2244
0.3868;313.4821
0.4174;364.1715
0.4314;381.8864
0.4352;451.5974
0.3518;530.6953
0.4219;560.1717
0.3734;363.6693
0.3237;473.0225
0.3786;395.1078
0.4307;355.0418
0.4448;538.2384
0.3196;391.7415
0.3751;512.5424
0.3943;398.3609
0.4781;559.6969
0.4264;678.6176
0.3982;588.9134
0.4092;644.9975
0.4497;598.5168
0.4245;572.4410
0.3703;714.8099
0.4154;530.3382
0.4390;550.9563
0.4254;456.2106
0.3623;493.2924
0.4619;550.5440
0.4558;552.5775
0.4117;599.9407
0.3802;554.4681
0.3698;446.0174
0.4161;452.3129
0.3799;470.7219
0.3915;368.4150
0.4790;515.8967
0.3784;436.1193
0.4169;612.8697
0.3506;460.0707
0.3684;343.2164
0.4479;388.2750
0.3621;487.3324
0.3298;318.8708
0.4153;425.0401
0.3333;608.9856
0.2946;353.6385
0.3451;555.9471
0.3419;348.6527
0.3964;499.4998
0.4379;688.0034
0.4301;368.8513
0.3308;452.9021
0.3395;707.3276
0.3699;507.2016
0.3424;394.2955
0.4019;460.6374
0.3228;522.0211
0.4237;621.8628
0.3343;525.2802
0.3690;476.9753
0.3440;425.9252
0.4253;653.2212
0.3551;364.9785
0.4342;483.2233
0.4002;682.4427
0.3485;393.8588
0.3388;472.6529
0.3517;302.8451
0.3812;759.2397
0.3679;455.5619
0.4139;507.9240
0.3905;361.7816
0.3176;401.7651
0.3315;748.9858
0.3231;474.7059
0.3968;666.4516
0.4275;577.0219
0.3529;419.5429
0.3006;376.8388
0.3496;539.4672
0.3866;424.4966
0.3348;591.1377
0.4214;568.3395
0.3267;441.8085
0.3771;511.6577
0.3743;561.3557
0.4187;585.5900
0.3816;521.5522
0.3186;482.6741
0.3698;542.3896
0.4112;523.6384
0.4043;562.0164
0.3572;317.9330
0.3554;362.7493
0.3686;503.7595
0.3777;626.8054
0.2977;501.0625
0.3976;406.3354
0.3898;354.5769
0.3436;347.1912
0.3320;677.2222
0.3284;541.0109
0.3133;530.5462
0.3577;570.9955
0.3490;626.6750
0.3710;321.9425
0.3798;608.0632
0.4276;598.4028
0.3784;418.1992
0.3850;441.6818
0.3877;553.3902
0.3748;369.1471
0.4328;661.5787
0.3135;382.0005
0.3675;497.0184
0.4436;527.1632
0.3139;632.0686
0.4433;496.9571
0.4238;584.5242
0.3823;474.8725
0.3055;373.6131
0.2980;438.9714
0.3630;765.3925
0.3358;427.2590
0.3663;336.5213
0.4048;584.4837
0.3412;417.6176
0.3342;496.7781
0.3863;503.1123
0.3842;569.1941
0.3587;613.8472
0.3341;449.0543
0.3207;629.5832
0.3669;487.7630
0.3254;397.6474
0.3463;454.4689
0.3567;378.0074
0.4027;421.4111
0.2882;383.7118
0.2966;507.8986
0.3604;451.2695
0.3893;439.5245
0.4396;493.9899
0.3813;554.8878
0.4142;560.9159
0.4024;659.0887
0.3555;510.2448
0.2969;500.7436
0.2961;631.5491
0.3344;595.3087
0.3376;668.6202
0.3569;346.2324
0.3432;490.4638
0.4144;757.7038
0.3059;417.2483
0.4035;499.0103
0.4399;444.6322
0.4114;461.2771
