vars;min;max
FE_batt;18.0;22.0
FE_h2;1.0;1.2
FE_synth;9.2;11.2
P_batt;36.0;44.0
P_battEmpty;0.0;0.0
E_batt;58.23;71.17
E_battPHEV;11.7;14.3
E_battEmpty;0.0;0.0
E_battEmptyPHEV;0.0;0.0
P_fc;84.6;103.4
P_fcEmpty;0.0;0.0
s_ren_big;0.0;0.0
s_ren_small;0.0;0.0
s_ren_empty;0.0;0.0
c_main_bev;0.0558;0.0682
c_main_fcev;0.0612;0.0748
c_main_phev;0.0657;0.0803
c_main_icev;0.0675;0.0825
