vars;min;max
FE_batt;19.08;23.32
FE_h2;1.0;1.2
FE_synth;9.54;11.66
P_batt;36.0;44.0
P_battEmpty;0.0;0.0
E_batt;35.0;41.8
E_battPHEV;12.24;14.96
E_battEmpty;0.0;0.0
E_battEmptyPHEV;0.0;0.0
P_fc;24.0;28.6
P_fcEmpty;0.0;0.0
s_ren_big;0.0;0.0
s_ren_small;0.0;0.0
s_ren_empty;0.0;0.0
c_main_bev;0.045;0.055
c_main_fcev;0.0504;0.0616
c_main_phev;0.0531;0.0649
c_main_icev;0.0549;0.0671
