vars;min;max
C3_batt;93.0;96.0
C3_h2;50.0;54.0
C3_synth;42.0;46.0
Em_elFC;400.0;200.0
C5_icev;0.0;500.0
C5_empty;0.0;0.0
Em_elVC;500.0;600.0
cd;0.0;1.0
cd_empty;0.0;0.0
Em_elBatt;700.0;900.0
L;15.0;17.0
D;10000.0;12000.0
C_fuelH2;3.0;7.0
C_fuelEl;0.2;0.5
C_fuelSynth;1.3;3.0
r;7.0;8.0
C_batt;160.0;200.0
C_battEmpty;0.0;0.0
C_fc;80.0;120.0
C_fcEmpty;0.0;0.0
