vars;min;max
FE_batt;17.28;21.12
FE_h2;0.9;1.1
FE_synth;6.03;7.37
P_batt;36.0;44.0
P_battEmpty;0.0;0.0
E_batt;39.6;48.4
E_battPHEV;7.8;9.68
E_battEmpty;0.0;0.0
E_battEmptyPHEV;0.0;0.0
P_fc;102.6;125.4
P_fcEmpty;0.0;0.0
s_ren_big;0.0;0.0
s_ren_small;0.0;0.0
s_ren_empty;0.0;0.0
c_main_bev;0.0351;0.0429
c_main_fcev;0.0423;0.0473
c_main_phev;0.0414;0.0506
c_main_icev;0.0423;0.0517
